Date,Open,High,Low,Close,Volume
2005-02-25,5.2499,5.2673,5.041,5.1397,34965549
2005-02-28,5.1976,5.2499,5.0062,5.0527,59308623
2005-03-01,5.0585,5.0643,4.8379,4.8379,25038139
2005-03-02,4.7684,4.9655,4.7569,4.9251,23856949
2005-03-03,5.0643,5.128,4.9538,5.0062,26239332
2005-03-04,5.0527,5.215,5.0527,5.215,35906779
2005-03-07,5.2847,5.2905,5.0874,5.1048,18989432
2005-03-08,5.1048,5.1048,4.9133,4.9888,19447292
2005-03-09,5.0178,5.035,4.9251,4.9483,16990439
2005-03-10,4.8379,4.8611,4.6753,4.7915,32286660
2005-03-11,4.8264,4.9483,4.7858,4.8204,18130949
2005-03-14,4.8148,4.8148,4.5886,4.693,17069734
2005-03-15,4.6987,4.7625,4.5711,4.6349,20441619
2005-03-16,4.6234,4.6349,4.5363,4.6061,20637453
2005-03-17,4.5942,4.8786,4.5652,4.8669,22031714
2005-03-18,4.8669,4.9016,4.7743,4.8611,20779497
2005-03-21,4.8962,4.9016,4.7393,4.7684,17962007
2005-03-22,4.7104,4.8728,4.6349,4.7219,24612689
2005-03-23,4.7569,4.7569,4.3797,4.4146,33907784
2005-03-24,4.4898,4.6349,4.4898,4.5652,38071266
2005-03-28,4.5711,4.6118,4.4204,4.4668,15035573
2005-03-29,4.5188,4.548,4.2693,4.2753,32061178
2005-03-30,4.3332,4.4782,4.3215,4.4552,24859548
2005-03-31,4.6582,4.6641,4.5188,4.5652,16714617
2005-04-01,4.7569,4.7684,4.5711,4.6234,19772070
2005-04-04,4.5247,4.5363,4.4552,4.4782,14119162
2005-04-05,4.5363,4.6061,4.4261,4.4492,14368782
2005-04-06,4.4841,4.548,4.4377,4.4492,14061239
2005-04-07,4.4609,4.548,4.4204,4.548,13644756
2005-04-08,4.548,4.6,4.5014,4.548,13277917
2005-04-11,4.5131,4.5595,4.4782,4.5072,8614510
2005-04-12,4.5014,4.5072,4.3564,4.4318,23012255
2005-04-13,4.4318,4.4435,4.2288,4.2463,31246130
2005-04-14,4.2463,4.2463,3.9852,4.0142,42034786
2005-04-15,3.9446,4.0895,3.8808,3.8925,26862685
2005-04-18,3.8633,4.0142,3.8517,3.9503,35186893
2005-04-19,4.02,4.1534,4.02,4.1303,25813191
